ID(Dec)	ID(Hex)	Action State	Description	Function Address														
0152	0098	FireFlowerShoot																	
0153	0099	FireFlowerShootAir																	
0154	009A	ItemScrew																	
0155	009B	ItemScrewAir																	
0156	009C	DamageScrew																	
0157	009D	 DamageScrewAir																	
0158	009E	ItemScopeStart																	
0159	009F	ItemScopeRapid																	
0160	00A0	ItemScopeFire																	
0161	00A1	ItemScopeEnd																	
0162	00A2	ItemScopeAirStart																	
0163	00A3	ItemScopeAirRapid																	
0164	00A4	ItemScopeAirFire																	
0165	00A5	ItemScopeAirEnd																	
0166	00A6	ItemScopeStartEmpty																	
0167	00A7	ItemScopeRapidEmpty																	
0168	00A8	ItemScopeFireEmpty																	
0169	00A9	ItemScopeEndEmpty																	
0170	00AA	ItemScopeAirStartEmpty																	
0171	00AB	ItemScopeAirRapidEmpty																	
0172	00AC	ItemScopeAirFireEmpty																	
0173	00AD	ItemScopeAirEndEmpty																	
0174	00AE	LiftWait																	
0175	00AF	LiftWalk1																	
0176	00B0	LiftWalk2																	
0177	00B1	LiftTurn																	
0178	00B2	GuardOn	Shield startup	0x80093a50															
0179	00B3	Guard	Holding shield	0x80															
0180	00B4	GuardOff	Shield release	0x80															
0181	00B5	GuardSetOff	Shield stun																
0182	00B6	GuardReflect		0x80															
0183	00B7	DownBoundU	The missed tech bounce, facing up																
0184	00B8	DownWaitU	Lying on ground facing up																
0185	00B9	DownDamageU	Getting hit by a low knockback move lying on ground facing up																
0186	00BA	DownStandU	Neutral getup																
0187	00BB	DownAttackU	Get up attack from ground face up																
0188	00BC	DownFowardU	Missed tech roll forward																
0189	00BD	DownBackU	Missed tech roll backward																
0190	00BE	DownSpotU	Does not appear to be used, may have been a stick down option for missed tech at one point																
0191	00BF	DownBoundD	The missed tech bounce, facing down																
0192	00C0	DownWaitD	Lying on ground facing down	0x80															
0193	00C1	DownDamageD	Getting hit by a low knockback move lying on the ground facing down	0x80															
0194	00C2	DownStandD	Neutral getup	0x80															
0195	00C3	DownAttackD	Get up attack from ground face down	0x80															
0196	00C4	DownFowardD	Missed tech roll forward	0x80															
0197	00C5	DownBackD	Missed tech roll backward	0x80															
0198	00C6	DownSpotD	Does not appear to be used, may have been a stick down option for missed tech at one point	0x80															
0199	00C7	Passive	Neutral tech																
0200	00C8	PassiveStandF	Forward tech																
0201	00C9	PassiveStandB	Backward tech																
0202	00CA	PassiveWall	Wall tech																
0203	00CB	PassiveWallJump	Walljump tech/plain walljump																
0204	00CC	PassiveCeil	Ceiling tech																
0205	00CD	ShieldBreakFly																	
0206	00CE	ShieldBreakFall																	
0207	00CF	ShieldBreakDownU																	
0208	00D0	ShieldBreakDownD																	
0209	00D1	ShieldBreakStandU																	
0210	00D2	ShieldBreakStandD																	
0211	00D3	FuraFura	Shield-break tottering	0x80099010															
0212	00D4	Catch	Grab	0x800d8c54															
0213	00D5	CatchPull	Successfully grabbing a character - pulling them in	0x80															
0214	00D6	CatchDash		0x80															
0215	00D7	CatchDashPull		0x80															
0216	00D8	CatchWait	Grabbing and holding a character	0x80															
0217	00D9	CatchAttack	Pummel	0x80															
0218	00DA	CatchCut	When opponent breaks of a character's grab	0x80															
0219	00DB	ThrowF	Forward throw	0x80															
0220	00DC	ThrowB	Back throw	0x80															
0221	00DD	ThrowHi	Up throw	0x80															
0222	00DE	ThrowLw	Down throw	0x80															
0223	00DF	CapturePulledHi		0x80															
0224	00E0	CaptureWaitHi		0x80															
0225	00E1	CaptureDamageHi		0x80															
0226	00E2	CapturePulledLw	Becoming grabbed	0x80															
0227	00E3	CaptureWaitLw	When grabbed	0x80															
0228	00E4	CaptureDamageLw	Pummeled	0x80															
0229	00E5	CaptureCut	Grab release	0x80															
0230	00E6	CaptureJump	Jumping mash out of grab	0x80															
0231	00E7	CaptureNeck	Does not appear to be used	0x80															
0232	00E8	CaptureFoot	Does not appear to be used	0x80															
0233	00E9	EscapeF	roll forward	0x80															
0234	00EA	EscapeB	roll backward	0x80															
0235	00EB	Escape	spotdodge	0x800998ec															
0236	00EC	EscapeAir	airdodge	0x80099a9c															
0237	00ED	ReboundStop																	
0238	00EE	Rebound																	
0239	00EF	ThrownF	Thrown forward																
0240	00F0	ThrownB	Thrown backward																
0241	00F1	ThrownHi	Thrown up																
0242	00F2	ThrownLw	Thrown down																
0243	00F3	ThrownLwWomen	Thrown down as a female character																
0244	00F4	Pass	Drop through platform	0x80															
0245	00F5	Ottotto	Ledge teeter																
0246	00F6	OttottoWait																	
0247	00F7	FlyReflectWall	Missed walltech																
0248	00F8	FlyReflectCeil	Missed ceiling tech																
0249	00F9	StopWall	Wall bonk																
0250	00FA	StopCeil	Ceiling bonk																
0251	00FB	MissFoot	Backward shield slideoff																
0252	00FC	CliffCatch	Catching the ledge	0x80															
0253	00FD	CliffWait	Hanging on the ledge	0x80															
0254	00FE	CliffClimbSlow	Climbing the ledge (100%+)	0x80															
0255	00FF	CliffClimbQuick	Climbing the ledge (<100%)	0x80															
0256	0100	CliffAttackSlow	Ledge attack (100%+)	0x80															
0257	0101	CliffAttackQuick	Ledge attack (<100%)	0x80															
0258	0102	CliffEscapeSlow	Ledge roll (100%+)	0x80															
0259	0103	CliffEscapeQuick	Ledge roll (<100%)	0x80															
0260	0104	CliffJumpSlow1	Ledge jump/tournament winner (100%+)																
0261	0105	CliffJumpSlow2	Ledge jump/tournament winner (100%+)																
0262	0106	CliffJumpQuick1	Ledge jump/tournament winner (<100%)																
0263	0107	CliffJumpQuick2	Ledge jump/tournament winner (<100%)																
0264	0108	AppealR	Taunt right	0x80															
0265	0109	AppealL	Taunt left	0x80															
0266	010A	ShoulderedWait	DK carry																
0267	010B	ShoulderedWalkSlow																	
0268	010C	ShoulderedWalkMiddle																	
0269	010D	ShoulderedWalkFast																	
0270	010E	ShoulderedTurn																	
0271	010F	ThrownFF	DK carry throws																
0272	0110	ThrownFB																	
0273	0111	ThrownFHi																	
0274	0112	ThrownFLw																	
0275	0113	CaptureCaptain																	
0276	0114	CaptureYoshi																	
0277	0115	YoshiEgg																	
0278	0116	CaptureKoopa																	
0279	0117	CaptureDamageKoopa																	
0280	0118	CaptureWaitKoopa																	
0281	0119	ThrownKoopaF																	
0282	011A	ThrownKoopaB																	
0283	011B	CaptureKoopaAir																	
0284	011C	CaptureDamageKoopaAir																	
0285	011D	CaptureWaitKoopaAir																	
0286	011E	ThrownKoopaAirF																	
0287	011F	ThrownKoopaAirB																	
0288	0120	CaptureKirby																	
0289	0121	CaptureWaitKirby																	
0290	0122	ThrownKirbyStar																	
0291	0123	ThrownCopyStar																	
0292	0124	ThrownKirby																	
0293	0125	BarrelWait																	
0294	0126	Bury	Stuck in ground by DK side B or similar																
0295	0127	BuryWait																	
0296	0128	BuryJump																	
0297	0129	DamageSong	Put to sleep by Jigglypuff up B or similar																
0298	012A	DamageSongWait																	
0299	012B	DamageSongRv																	
0300	012C	DamageBind	Hit by Mewtwo's Disable																
0301	012D	CaptureMewtwo	Does not appear to be used																
0302	012E	CaptureMewtwoAir	Does not appear to be used																
0303	012F	ThrownMewtwo	Hit by Mewtwo's Confusion																
0304	0130	ThrownMewtwoAir	Hit by Mewtwo's Confusion																
0305	0131	WarpStarJump																	
0306	0132	WarpStarFall																	
0307	0133	HammerWait																	
0308	0134	HammerWalk																	
0309	0135	HammerTurn																	
0310	0136	HammerKneeBend																	
0311	0137	HammerFall																	
0312	0138	HammerJump																	
0313	0139	HammerLanding																	
0314	013A	KinokoGiantStart	Super/Poison mushroom states																
0315	013B	KinokoGiantStartAir																	
0316	013C	KinokoGiantEnd																	
0317	013D	KinokoGiantEndAir																	
0318	013E	KinokoSmallStart																	
0319	013F	KinokoSmallStartAir																	
0320	0140	KinokoSmallEnd																	
0321	0141	KinokoSmallEndAir																	
0322	0142	Entry	Warp in at beginning of match.																
0323	0143	EntryStart																	
0324	0144	EntryEnd																	
0325	0145	DamageIce																	
0326	0146	DamageIceJump																	
0327	0147	CaptureMasterhand																	
0328	0148	CapturedamageMasterhand																	
0329	0149	CapturewaitMasterhand																	
0330	014A	ThrownMasterhand																	
0331	014B	CaptureKirbyYoshi																	
0332	014C	KirbyYoshiEgg																	
0333	014D	CaptureLeadead																	
0334	014E	CaptureLikelike																	
0335	014F	DownReflect	A very rare action state where the character transitions from a DownBoundU or DownBoundD (missed tech) state into a wall bounce. This state is not techable and neither is the probable next floor hit. Most commonly encountered on Pokémon Stadium																
0336	0150	CaptureCrazyhand																	
0337	0151	CapturedamageCrazyhand																	
0338	0152	CapturewaitCrazyhand																	
0339	0153	ThrownCrazyhand																	
0340	0154	BarrelCannonWait																	
0341	0155	Wait1	No general action states at this point or later are used, it's all character-specific action states																
0342	0156	Wait2																	
0343	0157	Wait3																	
0344	0158	Wait4																	
0345	0159	WaitItem																	
0346	015A	SquatWait1																	
0347	015B	SquatWait2																	
0348	015C	SquatWaitItem																	
0349	015D	GuardDamage																	
0350	015E	EscapeN																	
0351	015F	AttackS4Hold																	
0352	0160	HeavyWalk1																	
0353	0161	HeavyWalk2																	
0354	0162	ItemHammerWait																	
0355	0163	ItemHammerMove																	
0356	0164	ItemBlind																	
0357	0165	DamageElec																	
0358	0166	FuraSleepStart																	
0359	0167	FuraSleepLoop																	
0360	0168	FuraSleepEnd																	
0361	0169	WallDamage																	
0362	016A	CliffWait1																	
0363	016B	CliffWait2																	
0364	016C	SlipDown																	
0365	016D	Slip																	
0366	016E	SlipTurn																	
0367	016F	SlipDash																	
0368	0170	SlipWait																	
0369	0171	SlipStand																	
0370	0172	SlipAttack																	
0371	0173	SlipEscapeF																	
0372	0174	SlipEscapeB																	
0373	0175	AppealS																	
0374	0176	Zitabata																	
0375	0177	CaptureKoopaHit																	
0376	0178	ThrownKoopaEndF																	
0377	0179	ThrownKoopaEndB																	
0378	017A	CaptureKoopaAirHit																	
0379	017B	ThrownKoopaAirEndF																	
0380	017C	ThrownKoopaAirEndB																	
0381	017D	ThrownKirbyDrinkSShot																	
0382	017E	ThrownKirbySpitSShot																	
